"","ID","AdmArea","Month","Year","TotalAmount","Suppliers","global_id"
"21","290","Центральный административный округ","Февраль","2018","1.24752302493E9","Supplier:ОАО «МОЭК»
Amount:4.3156523592E8

Supplier:Газпром межрегионгаз Москва
Amount:2.132718924E7

Supplier:Мосводоканал
Amount:1.3368117086E8

Supplier:Ростелеком
Amount:3.409039997E7

Supplier:РСВО
Amount:9585762.55

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1688665411E8

","885817661"
"22","266","Центральный административный округ","Январь","2018","1.25593240709E9","Supplier:ОАО «МОЭК»
Amount:4.3424734867E8

Supplier:Газпром межрегионгаз Москва
Amount:2.126232577E7

Supplier:Мосводоканал
Amount:1.3245184128E8

Supplier:Ростелеком
Amount:3.369905345E7

Supplier:РСВО
Amount:9611906.68

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1685632409E8

","885818212"
"23","338","Центральный административный округ","Февраль","2019","1318968869","Supplier:ОАО «МОЭК»
Amount:4.8044303498E8

Supplier:Газпром межрегионгаз Москва
Amount:2.248898126E7

Supplier:Мосводоканал
Amount:1.2803020304E8

Supplier:Ростелеком
Amount:3.645687247E7

Supplier:РСВО
Amount:9843942.87

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.3402676903E8

","915889876"
"24","350","Центральный административный округ","Сентябрь","2017","1.21203722666E9","Supplier:ОАО «МОЭК»
Amount:4.4739120368E8

Supplier:Газпром межрегионгаз Москва
Amount:2.135291087E7

Supplier:Мосводоканал
Amount:1.2949360218E8

Supplier:Ростелеком
Amount:3.206910339E7

Supplier:РСВО
Amount:9795961.1

Supplier:управляющие компании
Amount:3.5602963197E8

Supplier:прочие
Amount:1.6977058075E8

","918727981"
"25","362","Центральный административный округ","Ноябрь","2018","1.2499870148E9","Supplier:ОАО «МОЭК»
Amount:4.3097430009E8

Supplier:Газпром межрегионгаз Москва
Amount:2.220972709E7

Supplier:Мосводоканал
Amount:1.2505267751E8

Supplier:Ростелеком
Amount:3.365496635E7

Supplier:РСВО
Amount:9812796.72

Supplier:прочие
Amount:2.1765054333E8

Supplier:управляющие компании
Amount:4.1063200371E8

","919119829"
"26","374","Центральный административный округ","Октябрь","2018","1.23665741857E9","Supplier:ОАО «МОЭК»
Amount:4.2084159539E8

Supplier:Газпром межрегионгаз Москва
Amount:2.220803279E7

Supplier:Мосводоканал
Amount:1.2334673125E8

Supplier:Ростелеком
Amount:3.365994754E7

Supplier:РСВО
Amount:9864032

Supplier:прочие
Amount:2.181116716E8

Supplier:управляющие компании
Amount:4

","919120896"
"27","386","Центральный административный округ","Сентябрь","2018","1.2218254529E9","Supplier:ОАО «МОЭК»
Amount:4.1166362705E8

Supplier:Ростелеком
Amount:3.371760717E7

Supplier:Мосводоканал
Amount:1.189899204E8

Supplier:Газпром межрегионгаз Москва
Amount:2.222119646E7

Supplier:РСВО
Amount:9926244.51

Supplier:прочие
Amount:2.1762606648E8

Supplier:управляющие компании
Amount:4

","919122314"
"28","398","Центральный административный округ","Декабрь","2018","1250072335","Supplier:ОАО «МОЭК»
Amount:474404063

Supplier:Газпром межрегионгаз Москва
Amount:21331906

Supplier:управляющие компании
Amount:359088335

Supplier:прочие
Amount:218059050

Supplier:Мосводоканал
Amount:135244190

Supplier:Ростелеком
Amount:32239369

Supplier:РСВО
Amount:9705419

","920164354"
"29","410","Центральный административный округ","Ноябрь","2017","1248661932","Supplier:ОАО «МОЭК»
Amount:471716242

Supplier:Газпром межрегионгаз Москва
Amount:21307539

Supplier:Мосводоканал
Amount:137027832

Supplier:Ростелеком
Amount:31951002

Supplier:РСВО
Amount:9854130

Supplier:прочие
Amount:217695997

Supplier:управляющие компании
Amount:359109186

","920170766"
"30","422","Центральный административный округ","Октябрь","2017","1233226017","Supplier:ОАО «МОЭК»
Amount:460879905

Supplier:Газпром межрегионгаз Москва
Amount:21273301

Supplier:Мосводоканал
Amount:135964175

Supplier:Ростелеком
Amount:31936775

Supplier:РСВО
Amount:9751391

Supplier:прочие
Amount:216745781

Supplier:управляющие компании
Amount:356674685

","920180904"
"31","434","Центральный административный округ","Август","2017","1205424733","Supplier:ОАО «МОЭК»
Amount:444597452

Supplier:Газпром межрегионгаз Москва
Amount:21305302

Supplier:Мосводоканал
Amount:126487263

Supplier:Ростелеком
Amount:32050588

Supplier:РСВО
Amount:9815999

Supplier:прочие
Amount:216467105

Supplier:управляющие компании
Amount:354701020

","920181564"
"32","446","Центральный административный округ","Апрель","2018","1242811612","Supplier:ОАО «МОЭК»
Amount:427318400

Supplier:Газпром межрегионгаз Москва
Amount:21369511

Supplier:Мосводоканал
Amount:119318542

Supplier:Ростелеком
Amount:34237500

Supplier:РСВО
Amount:10098880

Supplier:прочие
Amount:218142011

Supplier:управляющие компании
Amount:412326764

","920181845"
"33","458","Центральный административный округ","Декабрь","2017","1258380754","Supplier:ОАО «МОЭК»
Amount:437728930

Supplier:Газпром межрегионгаз Москва
Amount:22162609

Supplier:Мосводоканал
Amount:125363544

Supplier:Ростелеком
Amount:34232673

Supplier:РСВО
Amount:9758048

Supplier:прочие
Amount:217332441

Supplier:управляющие компании
Amount:41180505

","920181901"
"34","470","Центральный административный округ","Август","2018","1237711634","Supplier:ОАО «МОЭК»
Amount:422905235

Supplier:Газпром межрегионгаз Москва
Amount:22239720

Supplier:Мосводоканал
Amount:122811105

Supplier:Ростелеком
Amount:33725050

Supplier:РСВО
Amount:9931398

Supplier:прочие
Amount:216400627

Supplier:управляющие компании
Amount:409698495

","920418868"
"35","481","Центральный административный округ","Январь","2019","1282372753","Supplier:ОАО «МОЭК»
Amount:445753586

Supplier:Газпром межрегионгаз Москва
Amount:22497881

Supplier:Мосводоканал
Amount:124087812

Supplier:Ростелеком
Amount:36452349

Supplier:РСВО
Amount:9881483

Supplier:прочие
Amount:231963358

Supplier:управляющие компании
Amount:411736282

","925621173"
"36","493","Центральный административный округ","Апрель","2019","1.37624963296E9","Supplier:ОАО «МОЭК»
Amount:4.659159403E8

Supplier:Газпром межрегионгаз Москва
Amount:2.247770663E7

Supplier:Мосводоканал
Amount:1.2574350879E8

Supplier:Ростелеком
Amount:3.621785843E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.9150241336E8

Supplier:управляющие компании
Amount:424181164

","925697446"
"37","505","Центральный административный округ","Март","2019","1300946634","Supplier:ОАО «МОЭК»
Amount:460663646

Supplier:Газпром межрегионгаз Москва
Amount:22525292

Supplier:Мосводоканал
Amount:125554621

Supplier:Ростелеком
Amount:36345852

Supplier:РСВО
Amount:9785196

Supplier:прочие
Amount:246487829

Supplier:управляющие компании
Amount:39584195

","925702684"
"38","518","Центральный административный округ","Май","2019","1320926822","Supplier:ОАО «МОЭК»
Amount:469741967

Supplier:Газпром межрегионгаз Москва
Amount:22157704

Supplier:Мосводоканал
Amount:129554213

Supplier:Ростелеком
Amount:36114811

Supplier:РСВО
Amount:10141542

Supplier:прочие
Amount:259373473

Supplier:управляющие компании
Amount:393483109

","930605120"
"39","530","Центральный административный округ","Июль","2019","1294459975","Supplier:ОАО «МОЭК»
Amount:461898167

Supplier:Газпром межрегионгаз Москва
Amount:22487328

Supplier:Мосводоканал
Amount:122489753

Supplier:Ростелеком
Amount:35981441

Supplier:РСВО
Amount:10023623

Supplier:прочие
Amount:252699096

Supplier:управляющие компании
Amount:388880563

","1006305717"
